store_Id,user_id,lat,lng,rating,user_ratings_total,price_level
373,1395,41.2705484,-72.9469711,0,0,0
1772,1079,41.2330862,-73.0260426,4,813,0
172,1115,41.2311545,-73.0298801,4,664,0
563,1404,41.2558306,-73.0017676,4,499,0
877,1402,41.2232085,-73.0770867,3.8,824,0
1378,1124,41.2314866,-73.0463287,2.7,294,0
1837,1319,41.2357209,-73.0356117,4.4,19,2
2109,1327,41.2360074,-73.0355201,4.3,6999,0
224,1356,41.2351777,-73.0371841,4.8,799,2
2174,1110,41.2348423,-73.0371839,3.7,47,2
1539,1368,41.234824,-73.0369504,4.3,111,2
1412,1026,41.2351357,-73.0378255,4,1341,2
802,1372,41.2355864,-73.0366258,4.1,88,2
2015,1177,41.235813,-73.03609,4.3,92,2
940,1036,41.2369515,-73.0342675,2.9,33,0
1420,1171,41.2356263,-73.0356486,4.3,22,2
865,1449,41.250878,-73.023882,3.2,5,2
1032,1338,41.2360454,-73.0357313,3.7,9,1
997,1315,41.2513231,-73.0177516,4.6,2243,2
953,1306,41.2306979,-73.064036,0,0,0
1035,1319,41.2360271,-73.0355805,4.2,87,1
963,1022,41.2192589,-73.0128241,2.9,11,0
1838,1041,41.2386268,-73.0200017,4.3,4689,2
1695,1369,41.2509755,-73.0245418,0,0,0
1195,1354,41.250878,-73.023882,2.8,16,2
1876,1417,41.2482781,-73.0253079,4.3,789,3
1906,1352,41.2403,-73.0323972,4.6,1152,2
1562,1024,41.23453,-73.03789,3.1,51,2
1787,1435,41.2287369,-73.0691299,4.5,1809,0
1233,1303,41.234657,-73.037679,4.4,1727,0
1150,1040,41.2276746,-73.0490097,3.1,54,0
866,1144,41.2482,-73.0231,4.1,1172,0
371,1294,41.2365605,-73.0343476,3.7,50,2
1039,1003,41.238876,-73.029025,4.3,438,0
343,1404,41.221337,-73.056141,0,0,0
1829,1357,41.2663359,-73.0030265,2.7,10,0
73,1483,41.2360454,-73.0357313,4.3,48,2
1922,1014,41.2383912,-73.0354361,4.8,636,2
2009,1340,41.257564,-73.0115976,4.2,980,1
1247,1050,41.2590988,-73.011886,4.2,2373,2
1112,1125,41.2351937,-73.0359423,3,2,0
1963,1403,41.2230267,-73.0558634,4.4,1269,2
1785,1185,41.2246104,-73.0583516,5,1,0
1197,1032,41.2246104,-73.0583516,0,0,0
611,1227,41.2235985,-73.0571283,0,0,0
1889,1274,41.2246104,-73.0583516,0,0,0
938,1384,41.2449578,-73.0900722,4.7,13,0
535,1255,41.2403801,-73.0349169,3.2,19,2
828,1420,41.2243641,-73.0708207,0,0,0
1610,1398,41.2211914,-73.0561488,4.4,86,0
1318,1254,41.2380014,-73.0249496,4.5,87,0
614,1244,41.2321271,-73.0400256,4,12,0
515,1157,41.2252414,-73.070796,4.2,92,1
1091,1086,41.2256812,-73.0795573,4.9,220,0
411,1441,41.2476838,-73.0468756,3.5,68,0
152,1466,41.248345,-73.0035426,0,0,0
1957,1129,41.2264861,-73.018438,0,0,0
1036,1399,41.2227871,-73.0571668,4.5,181,0
1690,1391,41.2292156,-73.0298796,4.9,529,0
568,1119,41.2220944,-73.0464309,0,0,0
2186,1093,41.308274,-72.9278835,0,0,0
217,1197,41.268729,-72.9757163,4.2,726,0
1472,1428,41.2558306,-73.0017676,4,499,0
159,1464,41.2812821,-72.9414803,2.9,576,0
1229,1090,41.2921105,-72.9618992,4.3,284,0
1052,1254,41.2689833,-72.9747254,3.8,603,0
2227,1144,41.2832425,-72.9302338,4.5,26,0
1352,1010,41.268622,-72.976384,4.5,4287,2
785,1194,41.2752432,-72.967013,2.6,401,0
1239,1447,41.3013936,-72.9614403,2,1,0
1885,1229,41.2663359,-73.0030265,2.7,10,0
1502,1065,41.2723511,-72.9883249,4.2,949,1
49,1118,41.2844004,-72.9576103,0,0,0
130,1359,41.2844004,-72.9576103,0,0,0
1219,1119,41.2593896,-72.9585938,3.6,22,0
2132,1430,41.2844152,-72.9576369,5,1,0
2010,1166,41.2844004,-72.9576103,0,0,0
2162,1452,41.2844037,-72.957614,0,0,0
2016,1278,41.2844004,-72.9576103,0,0,0
694,1013,41.2705484,-72.9469711,0,0,0
797,1165,41.2844004,-72.9576103,0,0,0
34,1080,41.2844004,-72.9576103,0,0,0
149,1462,41.2844004,-72.9576103,0,0,0
1100,1013,41.2844004,-72.9576103,0,0,0
1840,1376,41.2844004,-72.9576103,0,0,0
1304,1316,41.2844004,-72.9576103,0,0,0
1293,1045,41.2836612,-72.9604509,0,0,0
815,1173,41.2827061,-72.9604283,0,0,0
1061,1274,41.2836612,-72.960451,0,0,0
575,1441,41.2844004,-72.9576103,0,0,0
252,1332,41.2844004,-72.9576103,0,0,0
1969,1301,41.2844004,-72.9576103,0,0,0
2096,1497,41.2844004,-72.9576103,0,0,0
1295,1049,41.2844004,-72.9576103,0,0,0
2131,1317,41.2844004,-72.9576103,0,0,0
1967,1012,41.2844004,-72.9576103,0,0,0
1252,1113,41.2844004,-72.9576103,0,0,0
2056,1346,41.2844004,-72.9576103,0,0,0
1484,1131,41.2844004,-72.9576103,0,0,0
95,1282,41.2844004,-72.9576103,0,0,0
289,1291,41.2844004,-72.9576103,0,0,0
927,1377,41.2844004,-72.9576103,0,0,0
1428,1155,41.2844004,-72.9576103,0,0,0
1083,1048,41.2844004,-72.9576103,0,0,0
56,1104,41.2844004,-72.9576103,0,0,0
562,1056,41.2844004,-72.9576103,0,0,0
2039,1267,41.2844004,-72.9576103,0,0,0
1373,1055,41.2844004,-72.9576103,0,0,0
758,1311,41.2844004,-72.9576103,0,0,0
1121,1339,41.2844004,-72.9576103,0,0,0
2273,1244,41.2844152,-72.9576369,0,0,0
240,1428,41.2844004,-72.9576103,0,0,0
21,1092,41.2844004,-72.9576103,0,0,0
1163,1357,41.2844004,-72.9576103,0,0,0
844,1421,41.2844004,-72.9576103,0,0,0
2261,1415,41.2844004,-72.9576103,0,0,0
259,1422,41.2844004,-72.9576103,0,0,0
1616,1218,41.2844004,-72.9576103,0,0,0
99,1081,41.2844004,-72.9576103,0,0,0
1624,1059,41.2844004,-72.9576103,0,0,0
1167,1043,41.308274,-72.9278835,0,0,0
2023,1305,41.2921105,-72.9618992,4.3,284,0
667,1241,41.2812821,-72.9414803,2.9,576,0
2128,1275,41.3013936,-72.9614403,2,1,0
2046,1193,41.2844004,-72.9576103,0,0,0
1642,1441,41.2844004,-72.9576103,0,0,0
2080,1389,41.2844152,-72.9576369,5,1,0
1687,1185,41.2844004,-72.9576103,0,0,0
212,1011,41.2844037,-72.957614,0,0,0
2251,1021,41.2844004,-72.9576103,0,0,0
1296,1231,41.2844004,-72.9576103,0,0,0
1966,1058,41.2844004,-72.9576103,0,0,0
1214,1467,41.2844004,-72.9576103,0,0,0
273,1252,41.2844004,-72.9576103,0,0,0
902,1463,41.2844004,-72.9576103,0,0,0
1946,1119,41.2844004,-72.9576103,0,0,0
257,1110,41.2879272,-72.9608996,4.4,7,0
1108,1441,41.2844004,-72.9576103,0,0,0
1722,1426,41.2844004,-72.9576103,0,0,0
653,1353,41.2705484,-72.9469711,0,0,0
2025,1335,41.2844004,-72.9576103,0,0,0
886,1403,41.2844004,-72.9576103,0,0,0
819,1103,41.2844004,-72.9576103,0,0,0
675,1063,41.2844004,-72.9576103,0,0,0
306,1265,41.2844004,-72.9576103,0,0,0
1017,1433,41.2844004,-72.9576103,0,0,0
1891,1335,41.2844004,-72.9576103,0,0,0
1862,1248,41.2844004,-72.9576103,0,0,0
1822,1281,41.2844004,-72.9576103,0,0,0
437,1048,41.2844004,-72.9576103,0,0,0
1579,1410,41.2844004,-72.9576103,0,0,0
1079,1303,41.2844004,-72.9576103,0,0,0
1670,1431,41.2844004,-72.9576103,0,0,0
547,1123,41.2844004,-72.9576103,0,0,0
227,1031,41.2844004,-72.9576103,0,0,0
1956,1394,41.2844004,-72.9576103,0,0,0
2279,1325,41.2844004,-72.9576103,0,0,0
46,1464,41.2844004,-72.9576103,0,0,0
1582,1246,41.2844004,-72.9576103,0,0,0
887,1400,41.2844152,-72.9576369,0,0,0
1651,1107,41.2844004,-72.9576103,0,0,0
417,1472,41.2844004,-72.9576103,0,0,0
1718,1458,41.2844004,-72.9576103,0,0,0
651,1385,41.2844004,-72.9576103,0,0,0
1757,1131,41.2844004,-72.9576103,0,0,0
939,1118,41.2844004,-72.9576103,0,0,0
624,1065,41.2844004,-72.9576103,0,0,0
123,1478,41.2844004,-72.9576103,0,0,0
584,1349,41.2844004,-72.9576103,0,0,0
1521,1303,41.2844004,-72.9576103,0,0,0
113,1495,41.2844152,-72.9576369,0,0,0
199,1102,41.2844004,-72.9576103,0,0,0
2119,1260,41.2844004,-72.9576103,0,0,0
1748,1281,41.2844004,-72.9576103,0,0,0
1191,1083,41.2844004,-72.9576103,0,0,0
154,1021,41.2844004,-72.9576103,0,0,0
265,1027,41.2844004,-72.9576103,0,0,0
274,1235,41.2844004,-72.9576103,0,0,0
2137,1436,41.2844004,-72.9576103,0,0,0
1107,1319,41.2844004,-72.9576103,0,0,0
1990,1446,41.308274,-72.9278835,0,0,0
319,1224,41.3130602,-72.9339436,4.1,736,0
1119,1024,41.3050076,-72.9293841,4.2,680,0
2138,1441,41.3163244,-72.9223431,4.5,1800,0
1335,1389,41.3029876,-72.9169419,4.5,7303,2
2148,1033,41.3055995,-72.926884,4.1,1683,0
747,1049,41.3065028,-72.9303923,4.4,1811,1
22,1265,41.3109307,-72.9263462,2.6,5,0
890,1267,41.3115533,-72.9295973,4.3,803,2
332,1288,41.3063812,-72.9288788,4.6,740,0
1251,1097,41.30839,-72.930958,4.8,1882,0
587,1439,41.311893,-72.9309429,4,774,3
1357,1240,41.3037776,-72.9355179,3.4,170,0
75,1334,41.3089105,-72.9330138,4.6,344,0
869,1323,41.3134369,-72.9241294,2.8,5,0
977,1001,41.304827,-72.9359041,3.5,82,0
2246,1365,41.3159749,-72.9212249,4.7,1230,0
1953,1469,41.3069859,-72.9244536,3,23,0
419,1095,41.3055866,-72.927307,4.5,816,2
1801,1470,41.3838782,-72.9026064,0,0,0
19,1171,41.3066515,-72.9307073,4.3,1340,2
1222,1204,41.3114292,-72.9443161,0,0,0
1901,1010,41.3062,-72.9276,4.4,1056,2
2255,1051,41.3117085,-72.9280908,4.3,84,0
792,1377,41.3138713,-72.9129525,4.7,4205,2
524,1047,41.3316093,-72.9226957,4.3,52,0
870,1248,41.3051796,-72.9230789,4.6,80,0
146,1095,41.3043573,-72.9354364,0,0,0
510,1312,41.3043573,-72.9354364,0,0,0
106,1362,41.3043573,-72.9354364,0,0,0
279,1438,41.3043573,-72.9354364,0,0,0
1807,1500,41.3045436,-72.9357954,0,0,0
896,1360,41.3045436,-72.9357954,0,0,0
1403,1344,41.3045436,-72.9357954,0,0,0
207,1488,41.3045436,-72.9357954,0,0,0
709,1171,41.3039882,-72.9350958,0,0,0
1824,1403,41.3167886,-72.9250156,4.7,153,0
1871,1099,41.3115904,-72.9305077,4,106,3
1144,1107,41.2982815,-72.9262518,4.2,99,0
108,1131,41.304215,-72.9317535,2.9,14,0
2176,1386,41.2975671,-72.9266539,3.4,165,0
2033,1197,41.304827,-72.9359041,5,3,0
367,1480,41.3061607,-72.9296587,4.2,826,2
1996,1290,41.3060796,-72.9304171,4.5,2522,2
1780,1356,41.3081574,-72.9261243,4.1,3700,0
784,1322,41.3078875,-72.9305307,4.8,552,0
1738,1338,41.3115411,-72.9288876,4.3,3,0
242,1294,41.3072011,-72.9289587,4.4,1221,2
